page,paragraph_id,sentence_num,sentence_text
2,0,1,BESTÄMMELSER OM SKOLVERKSAMHETEN
2,1,1,LÄROPLANENS UTFORMNING
2,2,1,"Verksamheten i grundskolan utformas efter föreskrifter och riktlinjer, som fastställs av riksdag och regering"
2,2,2,"Många förhållanden regleras dessutom genom avtal, som sluts mellan statens arbetsgivarverk och olika personalorganisationer eller mellan kommunerna och personalorganisationerna"
2,3,1,"Grundläggande bestämmelser om skolverksamheten ingår i en särskild lag, skollagen"
2,3,2,Denna innehåller bl a föreskrifter om primärkommunens skyldighet att anordna grundskola och om skolpliktens längd
2,4,1,Lagar som rör förhållanden på arbetsmarknaden och i arbetslivet gäller också i skolan
2,4,2,"Arbetsmiljölagen, lagen om anställningsskydd, lagen om offentlig anställning och lagen om facklig förtroendemans ställning på arbetsplatsen innehåller föreskrifter om bl a skyddsombud och personalens anställningsförhållanden"
2,4,3,Genom lagen om medbestämmande i arbetslivet (MBL) garanteras de anställda bl a rätt till information och förhandlingar före beslut om viktigare förändringar i skolans verksamhet
2,4,4,"Olika lagar om arbetstagares rätt till ledighet, exempelvis för vård av barn och för studier, gäller också skolans personal liksom lagen om jämställdhet mellan kvinnor och män i arbetslivet"
2,4,5,"Genom lag om rätt till ledighet för vissa föreningsuppdrag inom skolan ges arbetstagare, som är medlem i förening, rätt till ledighet för att för föreningens räkning arbeta i skolan, exempelvis inom tid för icke timplanebunden verksamhet (fria aktiviteter)"
2,5,1,"Lagbestämmelser kompletteras av förordningar, som regeringen"
3,6,1,Inledning 9
3,7,1,utfärdar
3,7,2,Den viktigaste förordningen på skolområdet är skolförordningen
3,7,3,"I denna regleras mera detaljerat bl a undervisningens organisation, sammansättning av olika konferenser, skolledningens och lärarnas arbetsskyldighet, behörighet till och organisation av tjänster som skolledare och lärare, beslutsrätt i olika frågor och möjligheter att överklaga skilda beslut"
3,8,1,Läroplanens utformning
3,9,1,I skolförordningen ingår en bestämmelse om att regeringen utfärdar läroplan för grundskolan
3,9,2,Läroplanen är samhällets styrinstrument för skolan och dess personal
3,9,3,"Den består av två delar, en allmän del och ett kommentarmaterial som ansluter till denna"
3,9,4,I läroplanens allmänna del anges mål och riktlinjer för skolans verksamhet
3,9,5,"Där ingår också timplaner, föreskrifter för timplaner samt kursplaner"
3,10,1,"Mål och riktlinjer utgår från skollagens målformulering, utvecklar innebörden i målen och anger de riktlinjer som skall ligga till grund för den lokala planeringen i skolstyrelser, rektorsområden, skolenheter, arbetsenheter och klassråd"
3,10,2,Skolförordningen ger i vissa fall mer detaljerade bestämmelser än riktlinjerna vad gäller främst beslutsrätt och organisation
3,10,3,Riktlinjer och förordning måste därför i dessa fall läsas parallellt
3,11,1,I timplaner och föreskrifter till timplanerna anges den tid olika ämnen eller ämnesgrupper på olika stadier normalt skall omfatta för varje elev
3,12,1,Kursplanerna beskriver i mål och huvudmoment undervisningens inriktning och innehåll i olika ämnen
3,12,2,Läroplanens allmänna del innehåller kursplaner för de ämnen som är gemensamma för alla
3,12,3,"Där ingår också kursplaner för tyska och franska (B-språk), hemspråk och svenska som främmande språk samt riktlinjer för den maskinskrivning som obligatoriskt ingår i elevernas färdighetsträning"
3,13,1,Som stöd för det lokala utvecklingsarbetet ingår i läroplanen också ett omfattande kommentarmaterial
3,13,2,"Detta utges, förnyas och aktualiseras fortlöpande"
3,13,3,Det innehåller inga föreskrifter
3,13,4,Avsikten är i stället att materialet skall beskriva aktuella problem och svårigheter — sådana de upplevs av dem som arbetar ute i skolan — och från den utgångspunkten diskutera alternativa metoder att söka bemästra svårigheterna och arbeta i den riktning som målen för skolan anger
3,13,5,Erfarenheter och forskningsresultat inarbetas successivt i förnyade versioner av kommentarerna
3,13,6,Olika målkonflikter belyses
3,14,1,"Redovisningen av forskning, försöksverksamhet, erfarenheter från skolans dagliga arbete och av aktuella problem kan bilda utgångspunkt för diskussion och beslut om olika arbetssätt, stoffurval"
4,15,1,10 — Inledning
4,16,1,och organisationsformer
4,16,2,"Tillsammans med information, fortbildning, lokalt uvecklingsarbete och läromedelsutveckling bör kommentarmaterialet kunna bidra aktivt till en förnyelse av innehåll, arbetssätt och organisation"
4,17,1,Kommentarmaterialet bör därigenom kunna ge inspiration till de arbetsplaner och det utvecklingsprogram som skall utformas lokalt inom varje rektorsområde
4,18,1,Kommentarmaterialet behandlar ämnesspecifika problem och alternativa arbetssätt
4,18,2,Det skall dessutom belysa olika centrala frågor i skolans inre arbete
4,18,3,I första hand skall materialet därvid ge information och uppslag inom följande områden:
4,19,1,"arbetsplaner träning av grundläggande färdigheter resursfördelning i kommun och rektorsområde utvärdering i klass, arbetsenhet, rektorsområde och kommun hjälp till elever med svårigheter det fria studievalet elevernas eget ansvar för arbetet i skolan föräldramedverkan i skolan föreningsmedverkan i skolan kulturlivet och skolan skola och arbetsliv skoldagens utformning"
4,20,1,"OD AO 008000 000000 nationella minoriteter, bl a invandrarfrågor"
4,21,1,För verksamheten inom specialskolan och sameundervisningen utger skolöverstyrelsen (SÖ) kompletterande anvisningar
5,22,1,Mål och riktlinjer
7,23,1,SKOLANS MÅL
7,24,1,DD
7,24,2,L genom samhållets försorg bedrivna undervisningen av barn och ungdom har till syfte att meddela eleverna kunskaper och öva deras färdigheter samt i samarbete med hemmen r fråmja elevernas utveckling till harmoniska människor och till dugliga och ansvarskännande samhåällsmedlemmar
