word,n
$$,1
$132x33,1
--490281410pn,1
-013w,1
-01d,4
-01ds1aq1e,1
-01siy,1
-02siy,1
-033w,1
-038uuwwpu,1
-080p3a1,1
-0831,1
-0[o42,1
-0d,1
-0iq,1
-0j0uoiy,1
-0joiq,1
-0s31,14
-101,1
-101w,1
-10j,16
-10j0,1
-10js43åhan,1
-10jsb],1
-10jsbuiuh[ojiq,1
-10jsbuiuh]ojiq,1
-10jsy3anin,1
-10w,2
-110w,1
-127,1
-128q10j,1
-12e,1
-12n,2
-13,1
-130,1
-130uw,1
-130ww,1
-132u1,1
-1334es,1
-133dssauuwr,1
-133ui,1
-133ut,1
-13agd,1
-13d,1
-13nes,1
-13pun,16
-13puun,3
-13u3pi,1
-13ynuuapi,1
-18,1
-1813u3,1
-1831e,1
-192u1,1
-193dssauuwe,1
-193dssauwr,3
-1[e2s23euj,1
-1[e4,1
-1]2ispjiba,1
-1b3suewnj|e,1
-1eplojs,1
-1es2njs,1
-1f,1
-1imeu,2
-1inieu,1
-1j0,1
-1j3pun,1
-1maeu,1
-1meu,1
-1n,4
-1n2eu,1
-1n2n3,1
-1nssi],1
-1ojsbutuh][ojiq,1
-1put,1
-1q2s10jo0,1
-1qojsb],1
-1£3q,1
-20,1
-20[8a,1
-21,1
-210j,2
-210jplojs,1
-21[p4,1
-21ejupwues,1
-2213q,1
-222uw,1
-22ens,1
-22ew,1
-22s3,1
-23,1
-233a,1
-23aqtapun,1
-23ejj,1
-23unj,1
-23uny,1
-28,1
-281suewwoaje,1
-283,1
-28e1,1
-28e1j,1
-28ejj,1
-28unj,1
-28uunj,1
-2ande,1
-2e,1
-2e],1
-2ejsin][s2aq,1
-2n,11
-2n]s,1
-2ni2g,1
-2nssa],1
-2pa,1
-2puej[ey10j,1
-2q,1
-2rjuasjewepur,1
-2s,1
-2sj2101,1
-2sn,1
-2snian,1
-2sniin,1
-2stn,2
-2stuiin,1
-2suon,1
-2u3wnsuuoy,1
-30,1
-30isnuu,1
-30pea,1
-30w,1
-31,13
-310j,1
-310j],1
-310jplojs,1
-3153,1
-31[eay,2
-31e,1
-31e1isse],1
-31ew,1
-31iba,2
-31iea,1
-31s3,1
-31sdeysuny,1
-31sh2j101s,1
-31sjuuwie,1
-31sås,1
-322wi[[ey,1
-3253,2
-328q10],1
-32a,2
-32q,2
-32s3,2
-33,6
-333a,1
-333uu1,1
-33aqtapun,1
-33e,2
-33e1,1
-33e115,1
-33e11s,2
-33e1j,1
-33ew,2
-33pun,2
-33unj,1
-33uunj,1
-33uunnj,1
-33€w,2
-34,2
-35,2
-38,3
-381,1
-3821,1
-3824],1
-383a,1
-38e1,1
-38e1j,1
-38e],1
-38p,1
-38unj,3
-38uny,1
-38uunj,1
-3[nwgoj,1
-3[nwioj,1
-3a1,1
-3a110w,1
-3ae3s4o0q,1
-3ba,1
-3e1sue,1
-3eatd,1
-3hanye,1
-3i1inibu,1
-3j,1
-3n,1
-3n[ba,1
-3p,1
-3p10j,1
-3pjiba,1
-3q,17
-3q[ba,1
-3qe,1
-3qq,1
-3que,1
-3qup2,1
-3sueåu,1
-3suoy,3
-3u,1
-3u0s21,1
-3u0s31,16
-3u0sa1,1
-3u0sai,1
-3uejd,1
-3uo0s21,1
-3uos21,1
-3uos2i,1
-3uos31,1
-3upyy,1
-3utuj[eisupwuwes,1
-3uu0s31,3
-3uu0sa1,2
-3uui,6
-3uupe|d,1
-3uur,1
-3uur!,1
-3uw,1
-3w,3
-3wio038,1
