page,paragraph_id,paragraph
2,0,16 — Måloch riktlinjer
2,1,"Fostran och utveckling studier, för yrkesverksamhet, för återkommande utbildning och inte minst för att ge människor möjligheter att hävda sina rättigheter i samhället. Att elever tränar och systematiskt får utveckla de grundläggande kommunikationsfärdigheterna, tala, läsa, skriva och räkna, måste därför vara centralt i skolarbetet."
2,2,Förutsättningarna för en allsidig färdighetsutveckling varierar mellan olika barn. Skolan kan framför allt bidra till att eleverna utvecklas positivt genom att de systematiskt får träna och utveckla sina färdigheter i sin egen takt. Skolan måste anslå tillräckligt med tid för detta. Det är viktigt att kommunikationsfärdigheterna grundläggs så tidigt som möjligt och befästs genom hela skolgången.
2,3,"Träningen får inte ensidigt koncentreras till ämnena svenska och matematik. Den måste naturligt ingå också i andra ämnen och aktiviteter, inte tränas isolerat och utanför motiverande sammanhang under lektionerna. Eleverna bör här, som i annat skolarbete, ställa upp näraliggande, individuella mål och tillsammans med föräldrarna och lärarna följa och utvärdera sina framsteg."
2,4,"Skolan måste lägga stor vikt vid en allsidig utveckling av elevernas färdigheter. Grund för en utveckling som individ och medborgare i vidare mening utgör också andra färdigheter, exempelvis att kunna uttrycka sig med hjälp av bild, att kunna organisera sina studier och att fungera i samarbete med andra i arbetslag och grupper."
2,5,"Likaså skall skolan betona de tekniskt-praktiska vardagsfärdigheterna. Varje människa behöver dessa för att klara boende, arbete och fritid. Människan omger sig med allt fler tekniska hjälpmedel. Genom att föra in vardagskunskaper och vardagsfärdigheter i många olika ämnen är det möjligt att ge barnen respekt för att hushålla med resurser och bruksföremål och för möjligheterna att återanvända vardagstingen."
2,6,"Med utgångspunkt i barnens vardagliga erfarenheter måste skolan ge eleverna insikt i de stora överlevnadsproblem som världen står inför. Alla måste bli medvetna om vikten av att hushålla med jordens resurser av energi, vatten, skog och odlingsbar mark liksom om de kriser som kan hota världssamhället genom överbefolkning, arbetslöshet och vidgade klyftor mellan rika och fattiga länder. Genom ett historiskt perspektiv bör eleverna få kunskap om naturvetenskapens roll för utveckling av vårt nuvarande samhälle och vår levnadsstandard liksom om de faror som är förknippade med användningen av tekniken."
2,7,"Skolan skall fostra. Det innebär att skolan aktivt och medvetet skall påverka och stimulera barn och ungdomar att vilja omfatta vår demokratis grundläggande värderingar och låta dessa komma till uttryck i praktisk, vardaglig handling."
3,8,"106 Kursplaner problem. Funktionsbegreppet introduceras genom praktiska experiment. Tolkning av enkla funktioner, avbildade i första kvadranten av ett koordinatsystem. Beräkning av funktionsvärden genom att sätta in dem i formler, knutna till vardagslivet eller till andra skolämnen."
3,9,Högstadiet
3,10,"Tolkning och konstruktion av grafer i hela koordinatsystemet. Teckning, förenkling och beräkning av uttryck. Parentesuttryck, utbrytning av faktorer samt kvadreringsreglerna och konjugatregeln behandlas, dock med speciellt hänsynstagande till elevernas mognad, intresse och behov. Ekvationer av första graden, även med obekanta i båda led samt med parenteser och bråktal. Problemlösning med enkla ekvationer. Linjära funktioner, speciellt sådana som anger proportionalitet."
3,11,"Linjära ekvationssystem och enkla andragradsekvationer, främst vid problemlösning och företrädesvis med grafisk lösning."
3,12,BESKRIVANDE STATISTIK OCH SANNOLIKHETSLÄRA
3,13,"En stor del av den information vi får om samhället omkring oss uttrycks i form av tabeller, diagram och sannolikheter. Undervisningen syftar i första hand till att lära eleverna tolka och värdera denna information. Den bör integreras med undervisningen i orienteringsämnena och bygga på reella data från närmiljö, samhälle och världen i stort. Arbetet inom detta moment är speciellt lämpligt att utföras i grupp, gärna som temaarbeten."
3,14,Lågstadiet Insamling av data samt tolkning av enkla tabeller och diagram. Konstruktion av diagram görs lämpligen laborativt.
3,15,Lågstadiet och mellanstadiet
3,16,Systematiseringen av insamlade data byggs ut och framställning och tolkning av stapeldiagram och linjediagram behandlas liksom medelvärdesbegreppet.
3,17,Mellanstadiet och högstadiet
3,18,"Beräkning av medelvärde. Framställning och tolkning av bl a cirkeldiagram och stolpdiagram. Frekvens och frekvenstabeller i samband med egna undersökningar. Kritisk granskning av olika sätt att presentera statistiskt material, t ex i reklam. Undersökning av sannolikhet för händelser."
4,19,Matematik 107
4,20,Högstadiet
4,21,"Klassindelning, histogram och enkla lägesmått tas upp liksom relativa frekvenser och relativa frekvensers stabilitet. Sannolikhetsbegreppet och beräkning av sannolikheter i enkla fall."
4,22,Exempel på olika yrken där kunskap om statistik och sannolikhetslära är betydelsefull.
4,23,DATALÄRA
4,24,Alla elever bör orienteras om användningen av datorer i samhället och om den snabba utvecklingen på området. Speciellt gäller det att eleverna inser att datorn är ett tekniskt hjälpmedel som styrs av människor.
4,25,Högstadiet
4,26,"Datorfunktionerna med tyngdpunkt i datorprogrammets uppgift och metoder för problemlösning. Några olika databehandlingsområden, där betydelsen av den snabba tekniska utvecklingen särskilt uppmärksammas."
4,27,Exempel på olika yrken där kunskap om datorer är betydelsefull.
5,28,MUSIK
