page,paragraph_id,sentence_num,sentence_text
4,0,1,kurs tilldelats de olika ämnena bör därför inte delas upp på alltför många arbetstillfällen och aktiviteter
4,0,2,"Ett på många korta arbetspass splittrat dagsschema medför, att naturliga undervisningsenheter ofta blir sönderstyckade, att samverkan mellan olika ämnen försvåras, att elevernas självständiga arbete onödigt ofta blir avbrutet av de korta rasterna och att förhållandevis lång tid åtgår för omställning till nytt arbete efter dessa avbrott"
4,0,3,Strävan vid schemaläggningen måste vara att åstadkomma längre sammanhängande arbetspass
4,0,4,Erforderlig hänsyn skall givetvis tas till vederbörande ämnes karaktär och till de arbetssätt och läromedel som används
4,0,5,"Därvid bör särskilt uppmärksammas kravet på att man anpassar inlärningssituationerna vid undervisningen i språk till föreliggande omständigheter, bla beträffande tillgången till olika läromedel och tekniska anordningar"
4,1,1,Olika slag av konferenser är ett viktigt inslag i skolans inre arbete
4,1,2,"De är nödvändiga bl a för aktualisering och samordning av elevvårdande uppgifter, för samarbete med elevvårdsfunktionärer, för planering av samarbetet med hemmen, för överläggningar om studiernas uppläggning och kursernas innehåll samt för planering och samordning av undervisningen inom enskilda avdelningar, inom samma eller angränsande årskurser och stadier, i enskilda ämnen och i ämnesgrupper"
4,1,3,"Vid konferenser, då undervisningen planeras eller allmänna pedagogiska frågor behandlas, bör även representanter för eleverna delta"
4,2,1,"Om kollegier, klasskonferenser, ämneskonferenser och överläggningar beträffande frågor om erforderlig samordning av undervisningen i olika ämnen lämnas föreskrifter i skolstadgan"
4,3,1,"Klasskonferensens uppgift är närmast att handlägga frågor rörande en klass eller flera klasser, som i visst ämne eller vissa ämnen undervisas gemensamt"
4,4,1,Amneskonferensen på högstadiet och motsvarande anordningar på lågstadiet och mellanstadiet har bla till uppgift att i anslutning till läroplanen närmare planera skolarbetet
4,4,2,Väsentliga delar av den mera översiktliga planeringen bör ske vid början av höstterminen och vårterminen och i slutet av läsåret
4,4,3,I det senare fallet bör arbetet bl a avse att sammanfatta resultatet av den verksamhet som förekommit under läsåret för att tjäna som underlag för planering av kommande läsår och att inför kommande läsår ge förslag om schemauppläggning och studieplaner samt planering av läromedels- och materialbehov
4,4,4,"Vid planering i början av en termin bör förutom information och instruktion rörande skolarbetet bl a följande kunna förekomma: systematisk genomgång av riktlinjer för undervisningen samt gällande huvudmoment och anvisningar, genomgång av och överläggningar om studieplaner och andra hjälpmedel för kursuppläggningen, inventering och uppordning av böcker och andra läromedel för planerade kursavsnitt, planering av studiebesök, exkursioner och friluftsdagar, samordning av undervisningen i olika ämnen och i parallellklasser, som behandlar samma kurser periodvis"
4,5,1,"Behovet av väl genomtänkta, konkreta studieplaner, både av allmän karaktär och med lokal anknytning, sammanhänger med kursplanernas uppbyggnad och anvisningarnas innehåll och inriktning"
4,5,2,"Inom de ramar som anges där, finns utrymme för en betydande frihet i arbetet"
4,5,3,Detta är en av förutsättningarna för att goda resultat skall uppnås i undervisningen och för en fortsatt utveckling av skolarbetet
4,5,4,Friheten är emellertid förenad med skyldighet att planmässigt ordna och bedriva undervisningen inte endast
4,6,1,Planering | 107
5,7,1,Planering inom ramen för enstaka arbetspass utan också på längre sikt
5,7,2,Dispositionsförslag till studieplaner och exempel på ordnade sekvenser av lärostoff och verksamheter finns i anvisningar och kommentarer
5,7,3,"Lokala studieplaner bör vid behov utarbetas, varvid de nyss nämnda anvisningarna kan tjäna till ledning"
